ElementCount, TestDescription, StaticSeconds, DynamicSeconds
1, Random Access Test, 0.006036, 0.0144712
1, Random Access Test_ 1000 Runs., 4.95477, 9.9812661
1, ContainsKey test 90% hit Test, 0.0061, 0.0096654
1, ContainsKey test 90% hit Test_ 1000 Runs., 4.3904724, 10.3975305
2, Random Access Test, 0.0187975, 0.0159992
2, Random Access Test_ 1000 Runs., 10.6463531, 10.8491566
2, ContainsKey test 90% hit Test, 0.0072737, 0.0104588
2, ContainsKey test 90% hit Test_ 1000 Runs., 6.0615699, 12.3906678
3, Random Access Test, 0.0185182, 0.0091085
3, Random Access Test_ 1000 Runs., 17.9404518, 14.3413382
3, ContainsKey test 90% hit Test, 0.0078992, 0.008434
3, ContainsKey test 90% hit Test_ 1000 Runs., 6.2186846, 12.7869533
4, Random Access Test, 0.0360759, 0.0096929
4, Random Access Test_ 1000 Runs., 15.7214854, 11.303261
4, ContainsKey test 90% hit Test, 0.0068394, 0.0055802
4, ContainsKey test 90% hit Test_ 1000 Runs., 5.1436743, 10.4840668
5, Random Access Test, 0.0276007, 0.0059878
5, Random Access Test_ 1000 Runs., 18.1670101, 13.2350067
5, ContainsKey test 90% hit Test, 0.0072566, 0.0070753
5, ContainsKey test 90% hit Test_ 1000 Runs., 5.7419146, 11.5478411
6, Random Access Test, 0.0205725, 0.0148907
6, Random Access Test_ 1000 Runs., 16.1348912, 10.7858452
6, ContainsKey test 90% hit Test, 0.004637, 0.005603
6, ContainsKey test 90% hit Test_ 1000 Runs., 5.0620537, 9.9531508
7, Random Access Test, 0.0318771, 0.0122869
7, Random Access Test_ 1000 Runs., 13.5908401, 9.1942202
7, ContainsKey test 90% hit Test, 0.0056382, 0.0057761
7, ContainsKey test 90% hit Test_ 1000 Runs., 4.1628987, 9.338232
8, Random Access Test, 0.0204015, 0.0054819
8, Random Access Test_ 1000 Runs., 13.8392667, 8.277078
8, ContainsKey test 90% hit Test, 0.0050973, 0.0089128
8, ContainsKey test 90% hit Test_ 1000 Runs., 4.1589244, 8.0138547
9, Random Access Test, 0.0187005, 0.0091969
9, Random Access Test_ 1000 Runs., 13.9155746, 8.4943277
9, ContainsKey test 90% hit Test, 0.0066893, 0.0100244
9, ContainsKey test 90% hit Test_ 1000 Runs., 4.4209708, 8.1855528
10, Random Access Test, 0.02263, 0.00748
10, Random Access Test_ 1000 Runs., 15.8401965, 10.6456654
10, ContainsKey test 90% hit Test, 0.0082204, 0.0107216
10, ContainsKey test 90% hit Test_ 1000 Runs., 6.2277572, 11.711586
20, Random Access Test, 0.0331545, 0.0090799
20, Random Access Test_ 1000 Runs., 21.8530969, 14.6805546
20, ContainsKey test 90% hit Test, 0.0112526, 0.0104877
20, ContainsKey test 90% hit Test_ 1000 Runs., 7.0287329, 13.5067424
30, Random Access Test, 0.0212513, 0.0099166
30, Random Access Test_ 1000 Runs., 17.594546, 11.2811098
30, ContainsKey test 90% hit Test, 0.0085054, 0.0155549
